username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheEllenShow;2018-03-20 11:35;4655;15763;"The last male northern white rhino has left the earth. We need to protect endangered species before they disappear. Don't let gorillas be next. @EDWildlifeFund https:// twitter.com/OlPejeta/statu s/975972162623418368 …";;@EDWildlifeFund;;"976165366442295296";https://twitter.com/TheEllenShow/status/976165366442295296
TheEllenShow;2018-03-20 11:04;2203;12491;"Canadian Gold medalists @TessaVirtue and @ScottMoir are here. Are they a couple? Are they not? I asked. I asked twice. Okay, I asked three times. pic.twitter.com/adCiAngqdb";;@TessaVirtue @ScottMoir;;"976157553959645184";https://twitter.com/TheEllenShow/status/976157553959645184
TheEllenShow;2018-03-20 10:50;1325;7926;"You two look great together. Have you considered dating?";;;;"976153927149174784";https://twitter.com/TheEllenShow/status/976153927149174784
TheEllenShow;2018-03-20 10:22;1423;13256;"It’s the #FirstDayOfSpring ! Or as we say in Los Angeles, it’s the First Day of Third Summer.";;;#FirstDayOfSpring;"976146935810686977";https://twitter.com/TheEllenShow/status/976146935810686977
TheEllenShow;2018-03-20 09:14;751;4553;"I love this. You’re gonna love this. @TagtheMovie #ThanksSponsor pic.twitter.com/OoXq3vkXXN";;@TagtheMovie;#ThanksSponsor;"976129760957878274";https://twitter.com/TheEllenShow/status/976129760957878274
TheEllenShow;2018-03-19 20:54;58;774;"This might be my favorite children’s book ever.";;;;"975943673580957696";https://twitter.com/TheEllenShow/status/975943673580957696
TheEllenShow;2018-03-19 16:03;2423;30657;"Resting on the shoulders of giants. pic.twitter.com/1INq58KRHV";;;;"975870429888786432";https://twitter.com/TheEllenShow/status/975870429888786432
TheEllenShow;2018-03-19 14:31;334;3382;". @AllisonBJanney is here with her Oscar, and finally gave me the thank you I deserve. pic.twitter.com/OkgSc7yPgT";;@AllisonBJanney;;"975847230950162432";https://twitter.com/TheEllenShow/status/975847230950162432
TheEllenShow;2018-03-19 13:35;487;3779;"I asked my audience about their #SpringBreak regrets. Then we got to hear a story about a face rug burn. pic.twitter.com/NNMEkdqDat";;;#SpringBreak;"975833219407867904";https://twitter.com/TheEllenShow/status/975833219407867904
TheEllenShow;2018-03-19 12:46;767;4767;"This season of #LittleBigShots is absolutely hilarious. pic.twitter.com/7idn5ttV9k";;;#LittleBigShots;"975820892700786688";https://twitter.com/TheEllenShow/status/975820892700786688
TheEllenShow;2018-03-19 12:39;12;153;"Thanks for bringing your Oscar. Not gonna lie, I feel a little bad about taking it from you.";;;;"975819125220982789";https://twitter.com/TheEllenShow/status/975819125220982789
TheEllenShow;2018-03-19 12:00;507;3987;"Listening to Zach Woods from #SiliconValley talk about trying to get in shape might be my favorite thing all week, and it's only Monday. pic.twitter.com/CdcOMsblGx";;;#SiliconValley;"975809295760568320";https://twitter.com/TheEllenShow/status/975809295760568320
TheEllenShow;2018-03-19 10:37;147;2137;"I played a game with @AllisonBJanney about how competitive we are. I won. http:// ellen.tv/2pplIjH";;@AllisonBJanney;;"975788352283713536";https://twitter.com/TheEllenShow/status/975788352283713536
TheEllenShow;2018-03-18 19:00;124;1973;"West Coast! It’s your turn to watch the premiere of #LittleBigShots . Tune in now! Go! @NBCLilBigShots";;@NBCLilBigShots;#LittleBigShots;"975552458335268864";https://twitter.com/TheEllenShow/status/975552458335268864
TheEllenShow;2018-03-18 17:48;8463;39146;"Angelica Hale is absolutely, unquestionably incredible. #LittleBigShots pic.twitter.com/eN9iqQWCUA";;;#LittleBigShots;"975534554684387328";https://twitter.com/TheEllenShow/status/975534554684387328
TheEllenShow;2018-03-18 16:00;145;2518;"#LittleBigShots starts now! Hurry, you don’t wanna miss any little big shots.";;;#LittleBigShots;"975507146841382912";https://twitter.com/TheEllenShow/status/975507146841382912
TheEllenShow;2018-03-18 13:36;226;3033;"I don’t think you can get more adorable then this. I’d do what she says. @SophieFatu #LittleBigShots pic.twitter.com/Lq2j9TXYuD";;@SophieFatu;#LittleBigShots;"975471006360862720";https://twitter.com/TheEllenShow/status/975471006360862720
TheEllenShow;2018-03-18 11:21;1215;19867;"Happy birthday, @AdamLevine . And congratulations on your new baby. I love the name. It’s the most unusual spelling of “Ellen.”";;@AdamLevine;;"975437105915576320";https://twitter.com/TheEllenShow/status/975437105915576320
TheEllenShow;2018-03-18 10:37;127;1821;"#LittleBigShots Season 3 premieres tonight! Get your little big shot to set your DVR. pic.twitter.com/UmheOFeJYY";;;#LittleBigShots;"975426021041188870";https://twitter.com/TheEllenShow/status/975426021041188870
TheEllenShow;2018-03-17 13:16;1322;5352;"The Kiriku brothers are about to blow your mind. Don’t miss #LittleBigShots tomorrow at 7/6c on @NBC ! pic.twitter.com/Aaw5Aq05Su";;@NBC;#LittleBigShots;"975103717136478209";https://twitter.com/TheEllenShow/status/975103717136478209
TheEllenShow;2018-03-17 12:39;209;4515;"Happy birthday, @RobLowe ! I love you and everything you’re doing for our community of Montecito.";;@RobLowe;;"975094290308243456";https://twitter.com/TheEllenShow/status/975094290308243456
TheEllenShow;2018-03-17 12:03;135;1861;"This is incredible! Thank you @shaye_1997 it means the world to me. #WeNeedGorillas @EDWildlifeFund https:// twitter.com/Shaye_1997/sta tus/974794952902365184 …";;@shaye_1997 @EDWildlifeFund;#WeNeedGorillas;"975085298894827521";https://twitter.com/TheEllenShow/status/975085298894827521
TheEllenShow;2018-03-17 10:58;132;1854;"Thank you so much @lunaamore14 . I'm so grateful and so are the gorillas. #WeNeedGorillas @EDWildlifeFund https:// twitter.com/lunaamore14/st atus/974795440846790656 …";;@lunaamore14 @EDWildlifeFund;#WeNeedGorillas;"975068816404185088";https://twitter.com/TheEllenShow/status/975068816404185088
TheEllenShow;2018-03-17 09:03;1800;12414;"Top o' morning to you! I hope everyone has a lucky day. #StPatricksDay pic.twitter.com/3Kg3HTfe4u";;;#StPatricksDay;"975039851060895744";https://twitter.com/TheEllenShow/status/975039851060895744
TheEllenShow;2018-03-16 17:39;143;2096;". @itsCathyNC , you're my all-time favorite person in the world right in this moment. https:// twitter.com/ItsCathyNC/sta tus/974798927445848064 …";;@itsCathyNC;;"974807431803936768";https://twitter.com/TheEllenShow/status/974807431803936768
TheEllenShow;2018-03-16 16:36;359;3468;"Now you can follow the @EDWildlifeFund on Twitter! If you make a donation, let me know. I'd love to give you a shoutout. http:// ellen.tv/2thmzIq";;@EDWildlifeFund;;"974791510817259520";https://twitter.com/TheEllenShow/status/974791510817259520
